region,period,community_id,n_words,top_words_preview,label,lane,origin,inherited_from,fit_check_rationale
british,1510-1530,1,1713,noblesse; benygne; trueth; pride; hatred; merites; petycyon; merytes; felycyte,"Virtue, Nobility & Human Character",Morality: Virtue & Vice,human,,
british,1510-1530,0,2292,fleme; margarete; marcell; sectionis; countreys; rochell; greatlye; cardynalles; integra,Mixed General Vocabulary,Structural / Uncertain,human,,
british,1510-1530,4,589,apres; feme; xxxvi; bref; xlv; cest; ceo; xlvi; mez,Law French Legal Text,Structural / Uncertain,human,,
british,1510-1530,3,779,roses; lynen; vyne; guttes; barly; helme; yelowe; hony; grauell,Herbal Remedies & Bodily Ailments,"Medicine, Body & Health",human,,
british,1510-1530,2,798,iam; ecclesiae; summam; singulis; exemplum; rursus; primi; christvs; nunc,Latin Text,Structural / Uncertain,human,,
british,1510-1530,5,47,maundeme; mended; cluded; myt; mytte; fort; forte; maundementes; uerted,Truncated Word Fragments,Structural / Uncertain,human,,
british,1530-1550,1,2251,vsages; tenantes; guysnes; constables; caleys; castelles; marches; capytaynes; ape,Mixed General Vocabulary,Structural / Uncertain,inherited,1510-1530#0,"Still a heterogeneous mix of administrative, narrative and religious vocabulary without a single dominant theme."
british,1530-1550,6,1019,neighboure; eldaris; studies; enymes; offenses; heartes; iniquities; redempcion; welfare,"Sin, Redemption & Absolution","Religion, Theology & the Church",human,,
british,1530-1550,4,1673,impute; assist; compell; applye; distroy; catche; applie; prescribe; condemne,General Action Verbs,Structural / Uncertain,human,1510-1530#1,
british,1530-1550,5,1103,discomfited; combred; slain; disquieted; enryched; susteined; inuaded; lamented; benne,Chronicle Narrative Verb Forms,Structural / Uncertain,human,,
british,1530-1550,13,357,penite; blou; arroga; vie; augme; cleme; agreme; plesau; iudgme,Truncated Word Fragments,Structural / Uncertain,human,,
british,1530-1550,2,1933,wyly; enormities; flesshely; filthines; couetise; pestiferous; perils; glotony; flatery,"Vice, Sin & Moral Corruption",Morality: Virtue & Vice,human,,
british,1530-1550,12,473,namit; pychtis; sindry; thairof; quhil; vvar; quhyll; efter; otheris,Scots-Language Text,Structural / Uncertain,human,,
british,1530-1550,17,88,doune; down; asyde; sodaynly; anone; thyther; flyght; astraye; incontynent,Directional & Motion Adverbs,Structural / Uncertain,human,,
british,1530-1550,11,608,estemeth; rekeneth; describeth; rebuketh; prayseth; regardeth; receyueth; vnderstandeth; nameth,Third-Person Singular Verb Forms,Structural / Uncertain,human,,
british,1530-1550,9,771,xxvij; regu; capvt; westmynster; westminster; mydnyght; xxij; score; nouember,Roman Numerals & Dates,Structural / Uncertain,human,1510-1530#4,
british,1530-1550,10,629,hermon; digged; pulled; carye; caryed; throwen; cary; plucke; fetche,Common Action & Motion Verbs,Structural / Uncertain,human,,
british,1530-1550,16,97,yw; val; ir; ni; ond; ef; mae; ae; nyd,Welsh-Language Text Fragments,Structural / Uncertain,human,,
british,1530-1550,7,1005,octauius; roger; lucius; seuerus; kynreds; abia; arriued; rufus; nicolas,Roman & Biblical Historical Figures,"History, Genealogy, Nobility & Kinship",human,,
british,1530-1550,0,2407,veluet; myters; sylke; fygges; flewme; barly; blewe; suger; ginis,Fine Fabrics & Vestments,"Domestic Life, Dress & Household",human,1510-1530#3,
british,1530-1550,3,1705,fama; posuit; ipsis; uero; principis; haeretici; igitur; ista; dedit,Latin Text,Structural / Uncertain,inherited,1510-1530#2,Still clearly Latin text throughout all tiers.
british,1530-1550,14,271,tynually; gregacyon; gregacio; munycacyon; tinual; clusyon; tinually; fyrmed; cluded,Truncated Word Fragments,Structural / Uncertain,inherited,1510-1530#5,Still clearly truncated word fragments (con-/com- prefix stripped) throughout.
british,1530-1550,15,119,couldest; iudgest; askest; hearest; spekest; seyst; sawest; beleuest; nedest,Second-Person Singular Verb Forms,Structural / Uncertain,human,,
british,1530-1550,8,872,nyghtshade; danis; conques; federike; duabus; capernaum; gumme; lewys; uocem,Mixed Fragments & Proper Names,Structural / Uncertain,human,,
british,1550-1570,2,1752,constraine; reueale; assaile; assayle; condempne; enforce; compell; incline; commende,General Action Verbs,Structural / Uncertain,inherited,1530-1550#4,Still general action verbs.
