region,period,community_id,n_words,top_words_preview,label,lane,origin,inherited_from
british,1510-1530,1,780,excellence; gladnes; petycyon; felycyte; exercyse; wretchednesse; neuewe; goodnesse; auaunced; bounte,Virtue & Moral Qualities,Morality: Virtue & Vice,llm,
british,1510-1530,6,459,wales; lepte; egypt; turkey; ile; therle; newcastell; hoost; hermyte; felle,Chronicle Narrative: Places & Nobility,"History, Genealogy, Nobility & Kinship",llm,
british,1510-1530,7,440,consente; happely; tourne; thynk; thoght; optayne; turne; obeye; accuse; excuse,Common Verb Infinitives,Structural / Uncertain,llm,
british,1510-1530,4,575,forestes; countreys; marches; delyueraunce; capitaynes; translacyon; countres; castel; cardynals; squiers,"Realm, Governance & Institutions","Government, Law & Administration",llm,
british,1510-1530,9,345,apperceyued; lyked; salued; beholdeth; behelde; swore; comforted; wyste; loste; shuldest,Narrative Past-Tense Verbs,Structural / Uncertain,llm,
british,1510-1530,5,531,preceptes; trueth; consciences; pride; love; save; merites; deale; lustes; yee,"Faith, Conscience & Sin","Religion, Theology & the Church",llm,
british,1510-1530,8,377,vicount; apres; ceo; accio; bref; sur; auera; cest; deux; appell,Law French Legal Terms,Structural / Uncertain,llm,
british,1510-1530,10,309,vltimo; xxvij; xlvi; xxxvi; xlii; derby; xxxv; xlv; xviij; xxv,Roman Numerals & Dates,Structural / Uncertain,llm,
british,1510-1530,2,716,iam; ista; patris; enim; singulis; uno; nunc; quoniam; rursus; primi,Latin Text,Structural / Uncertain,llm,
british,1510-1530,3,690,vyne; roses; guttes; salte; hony; moyst; grauell; yelowe; lynen; potte,Household Goods & Domestic Life,"Domestic Life, Dress & Household",llm,
british,1510-1530,12,46,neutre; nownes; noi; cases; substa; gendre; datyf; ablatyf; verbes; else,Grammar & Parts of Speech,"Books, Learning & Scholarship",llm,
british,1510-1530,13,38,een; nicht; godt; niet; dat; ist; als; van; op; maer,Dutch and German Text,Structural / Uncertain,llm,
british,1510-1530,0,863,sectionis; lucrum; regulam; marcell; rochell; gylbert; fleme; apeased; stell; northumberlande,Miscellaneous Chronicle Fragments & Names,Structural / Uncertain,llm,
british,1510-1530,11,49,maundeme; maundeth; fort; quered; syder; scie; mytted; cluded; mended; maundementes,Truncated Word Fragments,Structural / Uncertain,llm,
british,1530-1550,5,1453,disquieted; garnished; lamented; commodious; perillous; enryched; combred; amyable; amended; dissimuled,Miscellaneous Chronicle Fragments & Names,Structural / Uncertain,inherited,1510-1530#0
british,1530-1550,1,2267,eldaris; neighboure; perils; imaginations; offenses; heartes; glotony; pleasaunce; enymes; flesshely,Virtue & Moral Qualities,Morality: Virtue & Vice,inherited,1510-1530#1
british,1530-1550,4,1600,impute; assist; applye; compell; oppresse; resist; condempne; enforce; disclose; perswade,Common Verb Infinitives,Structural / Uncertain,inherited,1510-1530#7
british,1530-1550,16,149,homicide; instrumente; archer; handmayde; ape; adder; egge; hypocrite; ydoll; aduerbe,Miscellaneous Vocabulary List (Glossary),Structural / Uncertain,llm,
british,1530-1550,2,2137,vsages; caleys; fraudes; auctorities; archedeacons; capytaynes; baylyffes; constables; liberties; hundredes,"Realm, Governance & Institutions","Government, Law & Administration",inherited,1510-1530#4
british,1530-1550,13,301,val; blou; ni; ond; kyd; yw; ir; ae; mae; ef,Law French Legal Terms,Structural / Uncertain,inherited,1510-1530#8
british,1530-1550,11,482,inuadit; baith; thairof; pychtis; namit; quhyll; quhil; battall; nowmer; britonis,Dutch and German Text,Structural / Uncertain,inherited,1510-1530#13
british,1530-1550,0,2458,ueluet; veluet; baners; sylke; fygges; blewe; bankes; vyneger; barres; gynger,Household Goods & Domestic Life,"Domestic Life, Dress & Household",inherited,1510-1530#3
british,1530-1550,10,541,regardeth; despyseth; nameth; allegeth; affirmeth; rebuketh; purgeth; forbiddeth; espyed; declareth,Narrative Past-Tense Verbs,Structural / Uncertain,inherited,1510-1530#9
british,1530-1550,12,429,westminster; score; syege; twentye; mydnyght; ork; october; nouembre; lxxx; dyce,Roman Numerals & Dates,Structural / Uncertain,inherited,1510-1530#10
british,1530-1550,9,688,caryed; cary; throwen; threwe; blowe; thruste; casten; digged; pulled; plucked,"Faith, Conscience & Sin","Religion, Theology & the Church",inherited,1510-1530#5
british,1530-1550,6,1062,octauius; roger; nicolas; discomfited; seuerus; claudius; raufe; arriued; rufus; abia,Chronicle Narrative: Places & Nobility,"History, Genealogy, Nobility & Kinship",inherited,1510-1530#6
british,1530-1550,3,1735,uero; haeretici; potius; tamen; similiter; ipsis; igitur; apostoli; suu; dedit,Latin Text,Structural / Uncertain,inherited,1510-1530#2
british,1530-1550,8,742,xxvij; xxij; proposicion; xxviij; xxiiij; capvt; deute; augustyn; amos; ierome,Grammar & Parts of Speech,"Books, Learning & Scholarship",inherited,1510-1530#12
british,1530-1550,17,117,askest; knoweste; hearest; speakest; couldest; sawest; iudgest; dooest; herest; callest,Second-Person Verb Forms,Structural / Uncertain,llm,
british,1530-1550,14,257,gregacio; tinued; fessio; gregacyon; quered; clusion; clusyon; demned; tynually; tinuall,Truncated Word Fragments,Structural / Uncertain,inherited,1510-1530#11
british,1530-1550,7,791,duabus; danis; recoueries; aminadab; maryit; yair; capernaum; iohne; infla; pandarus,Mixed Proper Names & Fragments,Structural / Uncertain,llm,
british,1530-1550,15,172,penite; thinte; stude; punishme; plesau; auncie; conuenie; suffycye; tyrau; thente,Truncated Word Fragments (-nce/-nt),Structural / Uncertain,llm,
