region,period,community_id,n_words,top_words_preview,label,lane,origin,inherited_from
combined,1510-1530,22,126,exercyse; herytages; auaunced; desyrous; warkes; delectacyon; parfeccyon; miserable; laudable; delectable,Worldly Vice and Temptation,Morality: Virtue & Vice,human,
combined,1510-1530,6,216,fyersly; honorably; ioyously; spedde; salued; hermyte; behelde; seneshall; ponthus; apperceyued,Chivalric Romance Narration,"Literature, Drama & Poetic Diction",human,
combined,1510-1530,5,235,turne; obeye; loose; save; resist; parceyue; studye; excuse; prepare; gyve,Infinitive Verb Forms,Structural / Uncertain,human,
combined,1510-1530,12,175,thynk; foly; madde; wery; truely; knew; blame; sothe; fele; perceyue,Verbs of Thinking and Perceiving,Structural / Uncertain,human,
combined,1510-1530,7,214,capitaynes; kyndes; capytaynes; states; sayn; countrees; monasteryes; diseases; mart; bysshoppes,"Estates, Offices and Institutions","Government, Law & Administration",human,
combined,1510-1530,0,302,excellence; worthynesse; conuersacyon; goodnesse; mekenesse; strength; affection; affeccyon; wysedome; confort,Virtues and Excellent Qualities,Morality: Virtue & Vice,human,
combined,1510-1530,25,108,rochell; oppresse; parell; greatter; gyle; fraude; thinge; domage; traueyle; hatred,"Wrongdoing, Fraud and Harm",Morality: Virtue & Vice,human,
combined,1510-1530,13,172,apres; ceo; auera; bref; mez; feme; sur; dit; brefe; cest,Law French Legal Text,Structural / Uncertain,human,
combined,1510-1530,18,151,lyked; fleeth; greueth; loveth; turneth; worketh; receyueth; beholdeth; dredeth; wyst,Third-Person -eth Verb Forms,Structural / Uncertain,human,
combined,1510-1530,9,202,merytes; petycyon; roberte; felycyte; childre; feete; sepulture; noblenes; spouse; sensuall,"Salvation, Merit and Virtue","Religion, Theology & the Church",human,
combined,1510-1530,31,89,northumberlande; lancastre; therle; percy; richarde; stafforde; arundell; wyllyam; edwarde; irlande,English Nobility and Earldoms,"History, Genealogy, Nobility & Kinship",human,
combined,1510-1530,36,68,arryued; mornynge; ester; borde; clocke; aryued; mornyng; laste; dore; souper,Daily Routine and Mealtimes,"Domestic Life, Dress & Household",human,
combined,1510-1530,33,87,vysage; shynynge; amyable; floure; sadde; fresshe; wepyng; lusty; bryght; huge,Poetic Description and Beauty,"Literature, Drama & Poetic Diction",human,
combined,1510-1530,10,190,nostra; patris; propter; suum; dominus; sicut; tuo; quoniam; ista; gratia,Latin Religious Text,Structural / Uncertain,human,
combined,1510-1530,14,168,xj; xviij; xxv; xvii; twenty; iune; xiiij; xiij; score; marche,Roman Numerals and Dates,Structural / Uncertain,human,
combined,1510-1530,20,137,baptyst; gregory; austyn; translacyon; rycharde; confessour; luke; bisshop; martyne; euangelyst,Saints and Apostles,"Religion, Theology & the Church",human,
combined,1510-1530,11,181,strake; helme; ranne; lepte; chayre; sate; felle; smote; mounted; roche,Combat and Action Narration,Military & Warfare,human,
combined,1510-1530,30,96,tourne; dryue; caste; blowe; ronne; fall; lepe; flee; drawe; cut,Base-Form Verbs,Structural / Uncertain,human,
combined,1510-1530,15,160,staple; tena; appell; writ; forfeyt; portes; accyon; damage; accion; tye,Legal Writs and Property Law,"Government, Law & Administration",human,
combined,1510-1530,38,56,gall; vnce; quarter; gote; croked; colour; olyue; feuer; dogge; ounce,Herbal and Animal Remedies,"Medicine, Body & Health",human,
combined,1510-1530,28,105,returned; dysceyued; delyuerd; wonne; stryken; delyuered; loste; deceyued; perysshed; ouerthrowen,"Battle Outcomes, Past Participles",Military & Warfare,human,
combined,1510-1530,2,268,iam; ecclesiae; enim; exemplum; hunc; eam; primi; nunc; alijs; fuerit,Latin Ecclesiastical Text,Structural / Uncertain,human,
combined,1510-1530,8,209,marches; kent; egypt; forest; italy; wales; mount; shyppe; ile; hoost,Place Names and Geographic Terms,Geography & Territory,human,
combined,1510-1530,4,254,roses; vyne; coler; grauell; lynen; cole; barly; hony; plate; yelowe,Household Ingredients and Materials,"Domestic Life, Dress & Household",human,
combined,1510-1530,21,129,perfe; diuerse; neutre; sui; doctus; ritis; ri; iste; ille; factus,Latin Grammar Instruction,"Books, Learning & Scholarship",human,
combined,1510-1530,45,39,bri; pacie; nou; ki; dre; outward; obedye; thin; pacye; yo,Word Fragments,Structural / Uncertain,human,
combined,1510-1530,44,41,neuewe; housbande; syster; empyre; broder; cosyn; moder; mayden; fader; wyf,Family and Kinship Terms,"History, Genealogy, Nobility & Kinship",human,
combined,1510-1530,16,154,potte; guttes; bladder; reynes; venym; brest; tethe; breste; sydes; synewes,Anatomy and Bodily Ailments,"Medicine, Body & Health",human,
combined,1510-1530,34,76,subtile; sodde; drie; spiritis; bludde; fatte; colde; vnclene; eatynge; grosse,Humoral Medicine and Diet,"Medicine, Body & Health",human,
combined,1510-1530,24,112,benygne; sanctite; gloryous; blyssed; excellent; jesu; holynes; gracyous; auncyent; vyrgyn,"Christ, Virgin and Trinity Devotion","Religion, Theology & the Church",human,
combined,1510-1530,1,268,obedience; consciences; merites; trueth; love; riches; evyll; bloud; preach; live,"Faith, Sin and Justification","Religion, Theology & the Church",human,
combined,1510-1530,26,108,singulis; diuisor; uero; unum; loci; figura; fiunt; memoria; uiginti; quemadmodum,Latin Arithmetic and Geometry,"Science, Mathematics & Natural Philosophy",human,
combined,1510-1530,42,47,godt; niet; maer; als; op; een; van; nicht; dat; ist,Dutch and German Text,Structural / Uncertain,human,
combined,1510-1530,41,47,oughtest; wylte; mayste; reioyce; doest; shuldest; haddest; canst; wylt; woldest,Second-Person Verb Forms,Structural / Uncertain,human,
combined,1510-1530,39,53,mytted; mended; maundeme; quered; myt; maundementes; syder; forte; scie; maundeth,"Word Fragments, Suffix Stems",Structural / Uncertain,human,
combined,1510-1530,35,68,confessore; bertram; statut; ep; desce; englo; sermo; engla; robert; libro,Mixed Word Fragments,Structural / Uncertain,human,
combined,1510-1530,32,89,withdrewe; baner; sel; holdynge; sheldes; handys; pages; housholde; ennemys; bowes,Weapons and Battle Gear,Military & Warfare,human,
combined,1510-1530,17,151,penbroke; margarete; eldred; loyes; scotlonde; decessed; romayne; bretayne; saxons; vicount,Royal and Noble Names,"History, Genealogy, Nobility & Kinship",human,
combined,1510-1530,29,104,xxvij; xxxvi; xxij; lvii; xlvi; xlv; xliii; xxxv; lvi; lii,Roman Numerals,Structural / Uncertain,human,
